year,season,date,habitat,night,web,trap,recap,species,sex,age,weight_g
1997,F,1997-10-28,JC,1,3,8,N,ONAR,M,A,17
1997,F,1997-10-28,JC,1,3,9,N,NEAL,NA,J,142
1997,F,1997-10-28,JC,1,3,10,N,DIME,M,A,44
1997,F,1997-10-28,JC,1,3,11,N,PELE,F,A,26
1997,F,1997-10-28,JC,1,3,12,N,DIME,F,A,46
1997,F,1997-10-28,JC,1,3,17,N,DIME,F,A,35
1997,F,1997-10-28,JC,1,3,18,N,DIME,M,A,42
1997,F,1997-10-28,JC,1,3,20,N,DIME,NA,J,36
1997,F,1997-10-28,JC,1,3,21,N,DIME,M,A,38
1997,F,1997-10-28,JC,1,3,24,N,NEAL,F,A,182
1997,F,1997-10-28,JC,1,3,26,N,DIME,NA,J,34
1997,F,1997-10-28,JC,1,3,30,N,PELE,M,A,19
1997,F,1997-10-28,JC,1,3,31,N,DIME,F,A,38
1997,F,1997-10-28,JC,1,3,34,N,DIME,NA,J,36
1997,F,1997-10-28,JC,1,3,36,N,DIME,F,A,42
1997,F,1997-10-28,JC,1,3,89,N,DIME,F,A,42
1997,F,1997-10-28,JC,1,3,42,N,DIME,M,A,39
1997,F,1997-10-28,JC,1,3,44,N,ONAR,M,A,22
1997,F,1997-10-28,JC,1,3,47,N,DIME,M,A,38
1997,F,1997-10-28,JC,1,3,48,N,DIME,F,A,43
1997,F,1997-10-28,JC,1,3,61,N,DIME,M,A,38
1997,F,1997-10-28,JC,1,3,65,N,DIME,M,A,37
1997,F,1997-10-28,JC,1,3,66,N,DIME,F,A,36
1997,F,1997-10-28,JC,1,3,67,N,PELE,F,A,19
1997,F,1997-10-28,JC,1,3,68,N,DIME,F,A,38
1997,F,1997-10-28,JC,1,3,70,N,DIME,M,A,44
1997,F,1997-10-28,JC,1,3,76,N,DIME,M,A,47
1997,F,1997-10-28,JC,1,3,78,N,DIME,M,A,48
1997,F,1997-10-28,JC,1,3,82,N,DIME,M,A,42
1997,F,1997-10-28,JC,1,3,83,N,DIME,F,A,43
1997,F,1997-10-28,JC,1,3,87,N,CHPE,F,A,9
1997,F,1997-10-28,JC,1,3,90,N,PGFL,M,A,6
1997,F,1997-10-28,JC,1,3,91,N,SIHI,M,A,58
1997,F,1997-10-28,JC,1,3,92,N,DIME,F,A,38
1997,F,1997-10-28,JC,1,3,93,N,DIME,NA,J,31
1997,F,1997-10-28,JC,1,3,95,N,DIME,M,A,45
1997,F,1997-10-28,JC,1,3,104,N,DIME,M,A,41
1997,F,1997-10-28,JC,1,3,105,N,DIME,NA,NA,0
1997,F,1997-10-28,JC,1,3,106,N,SIHI,F,A,58
1997,F,1997-10-28,JC,1,3,107,N,DIME,M,A,41
1997,F,1997-10-28,JC,1,3,118,N,DIME,F,A,44
1997,F,1997-10-28,JC,1,3,119,N,DIME,NA,J,0
1997,F,1997-10-28,JC,1,3,120,N,DIME,M,A,45
1997,F,1997-10-28,JC,1,3,122,N,NEAL,F,A,0
1997,F,1997-10-28,JC,1,3,125,N,ONAR,F,A,19
1997,F,1997-10-28,JC,1,3,127,N,DIME,NA,J,32
1997,F,1997-10-28,JC,1,3,130,N,DIME,M,A,45
1997,F,1997-10-28,JC,1,3,134,N,DIME,NA,J,32
1997,F,1997-10-28,JC,1,3,137,N,DIME,F,A,41
1997,F,1997-10-28,JC,1,3,140,N,ONAR,NA,NA,0
1997,F,1997-10-29,JC,2,1,32,N,DIME,F,A,46
1997,F,1997-10-29,JC,2,1,33,N,PGFL,M,A,6
1997,F,1997-10-29,JC,2,1,138,N,SIHI,F,A,75
1997,F,1997-10-29,JC,2,1,41,N,ONAR,M,A,19
1997,F,1997-10-29,JC,2,1,81,N,DIME,M,A,41
1997,F,1997-10-29,JC,2,1,84,N,DIME,M,A,42
1997,F,1997-10-29,JC,2,1,91,N,DIME,M,A,45
1997,F,1997-10-29,JC,2,1,100,N,PELE,NA,NA,0
1997,F,1997-10-29,JC,2,1,104,N,DIME,F,A,38
1997,F,1997-10-29,JC,2,1,110,N,PELE,F,A,19
1997,F,1997-10-29,JC,2,1,117,N,PGFL,M,A,6
1997,F,1997-10-29,JC,2,1,121,N,DIME,F,A,45
1997,F,1997-10-29,JC,2,1,132,N,DIME,F,A,38
1997,F,1997-10-29,JC,2,1,137,N,SIHI,M,A,56
1997,F,1997-10-29,JC,2,1,141,N,ONAR,F,A,23
1997,F,1997-10-29,JC,2,2,21,N,DIME,M,A,52
1997,F,1997-10-29,JC,2,2,25,N,DIME,M,A,42
1997,F,1997-10-29,JC,2,2,26,N,DIME,M,A,47
1997,F,1997-10-29,JC,2,2,30,N,DIME,M,A,48
1997,F,1997-10-29,JC,2,2,33,N,CHPE,M,A,13
1997,F,1997-10-29,JC,2,2,35,N,CHPE,F,A,14
1997,F,1997-10-29,JC,2,2,36,N,DIME,F,A,39
1997,F,1997-10-29,JC,2,2,47,N,SIHI,M,A,63
1997,F,1997-10-29,JC,2,2,57,N,SIHI,NA,NA,0
1997,F,1997-10-29,JC,2,2,67,N,CHPE,F,A,16
1997,F,1997-10-29,JC,2,2,72,N,DIME,M,A,38
1997,F,1997-10-29,JC,2,2,86,N,ONAR,NA,J,16
1997,F,1997-10-29,JC,2,2,88,N,ONAR,M,A,21
1997,F,1997-10-29,JC,2,2,92,N,DIME,M,A,39
1997,F,1997-10-29,JC,2,2,97,N,PELE,M,A,22
1997,F,1997-10-29,JC,2,2,104,N,CHPE,M,A,12
1997,F,1997-10-29,JC,2,2,106,N,NEAL,NA,J,95
1997,F,1997-10-29,JC,2,2,110,N,CHPE,F,A,13
1997,F,1997-10-29,JC,2,2,119,N,NEAL,NA,J,162
1997,F,1997-10-29,JC,2,2,128,N,DIME,F,A,40
1997,F,1997-10-29,JC,2,2,135,N,DIME,M,A,42
1997,F,1997-10-29,JC,2,3,7,N,DIME,M,A,0
1997,F,1997-10-29,JC,2,3,18,N,ONAR,NA,J,19
1997,F,1997-10-29,JC,2,3,21,N,ONAR,M,A,22
1997,F,1997-10-29,JC,2,3,22,N,DIME,M,A,41
1997,F,1997-10-29,JC,2,3,20,N,DIME,M,A,32
1997,F,1997-10-29,JC,2,3,44,N,SPSP,M,A,89
1997,F,1997-10-29,JC,2,3,45,N,DIME,F,A,36
1997,F,1997-10-29,JC,2,3,47,N,DIME,M,A,40
1997,F,1997-10-29,JC,2,3,49,N,DIME,NA,NA,0
1997,F,1997-10-29,JC,2,3,52,N,DIME,F,A,41
1997,F,1997-10-29,JC,2,3,53,N,DIME,F,A,40
1997,F,1997-10-29,JC,2,3,55,N,DIME,NA,NA,0
1997,F,1997-10-29,JC,2,3,56,N,DIME,M,A,39
1997,F,1997-10-29,JC,2,3,57,N,NEAL,M,A,190
1997,F,1997-10-29,JC,2,3,58,N,DIME,M,A,42
